no,nickname,text,score,like,time,hotel,grade,stay
0,Sseung,친구들과 계획없이 다녀 온 여행~ 도착했을때 환영합니다~하며 웃으며 차에서 짐을 꺼내주고 주차도 무료로 해준다하고 정말 환영받은 기분으로 즐거웠어요~ 저녁 맛있게 먹고 호텔 주변을 산책하는데 노랫소리가 기분UP 해 줬어요. 아쉽게도 보지는 못했지만! 꿀팀!주말 저녁에 공연한다하더라구요. 날씨도 좋고 너무 즐겁게 기분전환하고 왔어요~,5,0,2020.09,롯데 호텔 제주,5,2020.04
1,ramenpop,9월 초 아직 뜨거운 날씨에 다녀왔습니다. 주로 수영장에서 시간을 보냈는데 물이 차갑지 않고 수영하지 좋았습니다. 수영장은 어린이 풀과 미끄럼틀이 있어서 6살 아이가 좋아했습니다. 직원도 친절했고 응대도 좋았습니다.,4,140,2020.09,롯데 호텔 제주,5,2020.09
2,Sue park,"조금은 추웠던 4월에 롯데 호텔 제주를 방문 하고 왔습니다 롯데호텔 세 번째 방문인데 여전히 직원분들은 친절하셨고 시설도 깨끗하고 좋았습니다 제일 좋아하는 곳은 해온인데 낮에도 밤에도 즐기기 좋았고 경치도 좋았습니다. 이번에는 객실에서 많은 시간을 보냈는데 바다 전망이라 커피 한 잔과 바다만 바라봐도 휴식을 취하는데 나쁘지 않았습니다 더불어 객실에서 바라보는 야외 정원도 예쁘고 야경은 정말 이국적인 느낌이었습니다 작년에 바다전망을 특히 최고였습니다 시간이 너무 빨리 흘러가서 아쉬울 정도였습니다 항상 친절히 체크인,체크아웃 도와주시는 로비직원분들도 감사드립니다. 관광지도 가까운 곳에 있어서 쉽게 나다닐 수 있었고 모르는 것도 잘 알려 주셔서 감사했습니다. 다음에는 부모님과 함께 호캉스를 즐겨 보고싶습니다. 감사합니다",5,0,2020.04,롯데 호텔 제주,5,2020.04
3,lifeistravel2015,윙쪽 방을 주었는데 로비에서 너무 멀었다. 규모있는 오성급호텔이고 비수기라 투숙율이 그리 높지않을 거 같은데도 호텔정문 직원이 얼리체크인 안된다고 가방 맡기라고 말함. 친절하긴 했는데 뭔가 암것도 대접받지않은 느낌... 오후 늦게 들어와 줄서서 대기하며 체크인. 외국에선 이정도급이면 설사 만실이 되어 얼리체크인이 안되어도 도착즉시 체크인 수속 다해주고 외출한 사이에 방도 배정되어 캐리어들도 이미 들여놔서 나중에 프론트에서 열쇠만 받아서 입실하도록 해주는데 아직 그런 배려는 한참 멀은 듯. 엘리베이터며 호텔장식들이 중국고객들을 주로 겨냥한 듯한 냄새가 물씬. 방크기나 침구 화장실 등 다 좋은데 올드한 스타일이며 TV도 베젤이 아주 넓은 구닥다리에 사이즈도 호텔급에 안맞는 듯. 애들 데리고 수영장놀이 할 거라면 몰라도 굳이 다시 올 것 같진 않음,3,83,2020.09,롯데 호텔 제주,5,2020.09
4,yjko,벌써 몇개월 전이네요 가을 냄새 솔솔 풍기는 요즘 다시 또 가고 싶네요 너무 좋았거든요 객실도 깨끗했고 전망도 좋았고 무엇보다 방긋방긋 웃는 직원들의 상냥한 표정 마주치는 직원들 모두 친절해서 자꾸 생각나요 깨끗하고 전망 좋은 객실 배정해주신 프론트직원분 감사합니다,5,0,2020.09,롯데 호텔 제주,5,2020.06
5,꼬니누나,12층 스위트룸에 2박 머물렀는데 방도 매우 깔끔했고 서비스도 만족스러웠습니다. 특히 침대가 편안해서 휴가에서 쌓이는 피로를 해소하기에 좋았습니다. 조식도 맛이 좋아서 즐겁게 머무르다 왔네요. 추천합니다!,5,0,2020.08,롯데 호텔 제주,5,2020.08
6,김상문,이번에 친구들가 2박하면서 너무나 즐거웠습니다 날이 너무더워 하루는 호텔에서 놀면서 시원하게 호캉스를 보냇네요 야외수영장 사우나 락볼링장 너무나 놀거리가 많앗습니다 늘 제주도 오면 롯데호텔을 이용하는데 직원분들도 너무 친절해서 좋았습니다 다음에 제주도 가게되면 롯데호텔이용할거 같습니다!!!,5,0,2020.08,롯데 호텔 제주,5,2020.08
7,소영이,"가족들과 1박2일로 다녀왔는데 너무 좋았어요! 밤에 보는 풍차 야경도 좋았고, 수영장도 너무 좋았습니다!! 호텔 직원 분들도 너무 친절해서 두배로 편안한 여행이 되었던 것 같아요 ~ ?? 오랜만에 편안하고 행복한 가족 여행을 도와주셔서 감사합니다 롯데호텔 제주 !!",5,0,2020.08,롯데 호텔 제주,5,2020.08
8,lucy,코로나를 뚫고 찾아간 최고의 휴가지 입구에서부터 제주 롯데호텔은 최고의 호텔답게 안전하게 지낼수있었어요 아이들과 함께 즐거운 물놀이 타임 오전 9시부터 밤11시까지 운영되는 물놀이는 그야말로 아이들에겐 최고의 휴양지예요 저녁에는 따뜻한물이 나오기 시작해서 추위없이 즐거운 시간을 보낼수 있었고 중간중간 쉬는시간동안 물속 청소는 기본 어린아가들이 놀수있는 공간도 따로 있어서 너무좋은것 같아요 룸컨디션도 역시 만족스러웠고 지나다닐때마다 친절히 대해주시는 직원분들이 너무 고마웠어요 저녁에는 아이들과 함께할수있는 오락실 볼링장이 있어서 지루하지 않게 보낼수 있었네요 남다른 비주얼 뽐내는 랍스타 떡볶이 망고빙수는 잊을수없을것 같네요 ㅎㅎ 좋은 추억 만들고 올수있었어요♡ 벌써 또 가고싶어져요 더운여름 편안히 쉬고 좋은이간보낼수 있도록 도왼주신 많은 롯데 호텔 직원분들 감사해요,5,1,2020.08,롯데 호텔 제주,5,2020.08
9,Rin,"카바나를 이용후 직원분께서 청소하시다가 아이가만든 쿠키를 실수로 버렸다는것에 룸까지 전화하셔서 아이에게 쿠키가 망가져서속상하지,미안하다 사과까지해주시구 다음날 해온에서 최상의 서비스로 보답해주셨어요~ 직원분들께서도 어찌나 친절하신지^^ 9시에 수영장에들어가서 9시에 물밖으로 나왔네요..^^;; 덕분에 신난 아이가 하루만 더있다가자고해서 3박일정이 4박이되었다는...ㅎㅎ 체크아웃하면서 감사인사드리고싶었는데 공항버스시간이 촉박해서 인사도 못하고 나왔습니다. ㅠ 음.. 성함이 기억이 안나서.. ㅠ 남자매니져님이셨지싶은데.. 어찌보면 아무것도아니었는데 이렇게 좋은 서비스로 보답해주셔서 감사합니다~ ^^ 신라만 가다가 롯데에서의 첫여행이었는데 아이와둘이 너무도 즐거운여행이었습니다~!!",5,0,2020.08,롯데 호텔 제주,5,2019.07
